trailer,genre,likes_this_genre,sd_ratio,valence,arousal,will_watch,cat_will_watch,already_watched_trailer,already_watched_film
18,romance,0,3.9394877197074143,3,4,0.1,0,0,0
19,scifi,1,3.1573867604329533,3,7,0.0,0,0,0
20,scifi,1,3.7932727461499423,3,3,0.0,0,0,0
21,scifi,1,3.947667731936696,3,4,1.0,1,0,1
1,action,0,4.407157702572227,5,4,0.2,0,0,0
2,action,0,3.6270855357076006,7,5,0.7,1,0,0
3,action,0,2.7397199255723854,6,7,0.4,0,0,0
4,comedy,1,3.927633500673028,6,4,0.4,0,0,0
5,comedy,1,3.4396501849983454,7,5,0.7,1,0,0
6,comedy,1,3.079078883368444,5,5,0.5,1,0,0
7,drama,0,2.817378470219667,3,6,0.9,1,0,0
8,drama,0,3.256813071519076,4,3,0.2,0,0,0
9,drama,0,3.901388889509027,6,8,0.8,1,0,0
10,history,1,2.807499568690371,7,6,0.6,1,1,0
11,history,1,2.930933435455956,8,3,0.8,1,0,0
12,history,1,3.2803248488110537,8,9,0.8,1,0,0
13,horror,-1,2.7117171960865423,3,6,0.0,0,0,0
14,horror,-1,4.442125067223286,2,6,0.0,0,0,0
15,horror,-1,3.0266707739499945,4,5,0.2,0,0,0
16,romance,-1,4.255620508310733,7,2,0.1,0,0,0
17,romance,-1,3.679457385019211,7,4,0.1,0,0,0
18,romance,-1,3.200243102754797,7,8,0.6,1,0,0
19,scifi,0,3.744922720521469,6,7,0.7,1,0,0
20,scifi,0,2.8704167767674478,4,6,0.6,1,0,0
21,scifi,0,2.9882231429939954,2,4,0.2,0,0,0
1,action,0,1.8761532284553888,7,7,0.7,1,1,0
2,action,0,1.7660670700135064,9,7,0.9,1,0,0
3,action,0,0.9916904783510476,9,9,0.8,1,0,0
4,comedy,1,1.8373820438578043,9,7,0.6,1,0,0
5,comedy,1,1.631567832192826,8,6,0.7,1,0,0
6,comedy,1,1.8166827463065112,9,9,1.0,1,0,0
7,drama,1,1.6384821373273262,6,7,0.8,1,0,0
8,drama,1,1.6109953814346298,4,3,0.6,1,0,0
9,drama,1,1.0330948433478122,4,5,0.8,1,0,0
10,history,0,1.4348225200593658,5,4,0.3,0,0,0
